id,relato_usuario,essencia_sugerida
142,"Sinto um medo súbito sem razão aparente",Aspen
143,"Tive sensação de morte iminente",Rock Rose
144,"Estou entregue, não luto mais",Gorse
145,"Odeio gente que fala devagar",Impatiens
146,"Faço favores mesmo sem querer",Centaury
147,"Evito ficar sozinho para não pensar",Agrimony
148,"Corrijo as pessoas porque quero o bem delas",Chicory
149,"Não consigo relaxar, minha mente não para",Vervain
150,"Fico pesando prós e contras eternamente",Scleranthus
151,"Tenho medo de críticas e julgamentos",Mimulus
152,"Sinto arrepios sem estar frio",Aspen
153,"Entrei em pânico ao ver o acidente",Rock Rose
154,"Acho que nasci com má sorte",Gorse
155,"Me irrito com a lentidão do sistema",Impatiens
156,"Sou muito submisso no relacionamento",Centaury
157,"Finjo alegria em velórios e momentos tristes",Agrimony
158,"Me magoo fácil se não me agradecem",Chicory
159,"Luto contra injustiças o tempo todo",Vervain
160,"Não sei se compro o azul ou o vermelho",Scleranthus
161,"Tenho medo de ficar sozinho na velhice",Mimulus
162,"Sinto medo de algo sobrenatural",Aspen
163,"Fiquei branco de susto e terror",Rock Rose
164,"Não vejo luz no fim do túnel",Gorse
165,"Quero as coisas para ontem",Impatiens
166,"Deixo os outros montarem em cima de mim",Centaury
167,"Sou o palhaço da turma, mas sou triste",Agrimony
168,"Gosto de ter controle sobre meus entes queridos",Chicory
169,"Sou muito entusiasmado e canso os outros",Vervain
170,"Minha indecisão me faz perder oportunidades",Scleranthus
171,"Tenho medo de altura e cair",Mimulus
172,"Sinto que algo ruim ronda minha casa",Aspen
173,"Tive um ataque de terror no avião",Rock Rose
174,"Já tentei de tudo e nada funciona",Gorse
175,"Não aguento esperar o microondas apitar",Impatiens
176,"Não sei defender meus interesses",Centaury
177,"Busco paz a qualquer preço, evito brigas",Agrimony
178,"Faço tudo por amor, mas cobro depois",Chicory
179,"Sou um cruzado por causas nobres",Vervain
180,"Fico tonto de tanto oscilar de opinião",Scleranthus
181,"Tenho medo de sangue e ferimentos",Mimulus
182,"Sinto medo do desconhecido",Aspen
183,"O pânico me fez desmaiar",Rock Rose
184,"Estou condenado ao fracasso",Gorse
185,"Fico nervoso em filas de banco",Impatiens
186,"Sou um capacho emocional",Centaury
187,"Uso álcool para relaxar e socializar",Agrimony
188,"Sou uma mãe galinha superprotetora",Chicory
189,"Não durmo pensando em como mudar o mundo",Vervain
190,"Não sei se caso ou compro uma bicicleta",Scleranthus
191,"Tenho medo de palco e plateia",Mimulus
192,"Sinto uma apreensão constante",Aspen
193,"O terror tomou conta de mim no assalto",Rock Rose
194,"Não tenho forças para tentar de novo",Gorse
195,"Atropelo as palavras de tão rápido que falo",Impatiens
196,"Faço a vontade dos outros para ser aceito",Centaury
197,"Detesto discutir, prefiro ceder",Agrimony
198,"Sinto que ninguém me ama como eu amo",Chicory
199,"Sou tenso e rígido com meus princípios",Vervain
200,"Fico dividido entre razão e emoção",Scleranthus
201,"Tenho medo de câncer e doenças graves",Mimulus
202,"Sinto medo de dormir no escuro",Aspen
203,"Fiquei gelado de pavor",Rock Rose
204,"Aceitei meu destino cruel",Gorse
205,"Odeio quem enrola para explicar algo",Impatiens
206,"Sou muito fraco para dizer não",Centaury
207,"Estou sempre rindo, mesmo na pior",Agrimony
208,"Me sinto um mártir da família",Chicory
209,"Tento converter todos à minha religião/ideia",Vervain
210,"Minha cabeça é um pêndulo de indecisão",Scleranthus
211,"Tenho medo de baratas voadoras",Mimulus
212,"Sinto uma presença maligna às vezes",Aspen
213,"O terror me paralisou as pernas",Rock Rose
214,"Não acredito que vou sarar",Gorse
215,"Sou elétrico, não paro quieto",Impatiens
216,"Me anulo para servir os outros",Centaury
217,"Odeio que me vejam chorar",Agrimony
218,"Manipulo com culpa para conseguir atenção",Chicory
219,"Sou exagerado na defesa das minhas ideias",Vervain
220,"Troco de roupa mil vezes antes de sair",Scleranthus
221,"Tenho medo de dirigir em estradas",Mimulus
222,"Sinto um medo abstrato e sem nome",Aspen
223,"Entrei em pânico quando a luz acabou",Rock Rose
224,"Já me resignei com a solidão",Gorse
225,"Tomo o trabalho dos outros para ir rápido",Impatiens
226,"Sou explorado no trabalho e não reclamo",Centaury
227,"Busco harmonia fingindo que concordo",Agrimony
228,"Fico doente se meus filhos se afastam",Chicory
229,"Sou perfeccionista e quero que todos sejam",Vervain
230,"Não sei se quero doce ou salgado",Scleranthus
231,"Tenho medo da reação do meu chefe",Mimulus
232,"Sinto que algo terrível vai acontecer hoje",Aspen
233,"Tive pesadelos horríveis e acordei suando",Rock Rose
234,"Não há saída para o meu problema",Gorse
235,"Fico ansioso quando o trânsito para",Impatiens
236,"Faço tudo para não desagradar",Centaury
237,"Minha alegria esconde muita dor",Agrimony
238,"Lembro de tudo que fiz por você, ingrato",Chicory
239,"Sou incansável nas minhas lutas",Vervain
240,"Fico mudando de canal sem parar",Scleranthus
241,"Tenho medo de falhar na prova",Mimulus
242,"Sinto uma sombra me seguindo",Aspen
243,"O pânico me fez perder a voz",Rock Rose
244,"Estou descrente da vida",Gorse
245,"Não tenho paciência com gente burra",Impatiens
246,"Sou um empregado da vontade alheia",Centaury
247,"Evito conflitos a todo custo",Agrimony
248,"Me faço de vítima para ter carinho",Chicory
249,"Me estresso tentando convencer os ignorantes",Vervain
250,"Não sei qual caminho pegar no GPS",Scleranthus
251,"Tenho medo de nadar no mar fundo",Mimulus
252,"Sinto medo de presságios",Aspen
253,"Fiquei petrificado ao ver o fogo",Rock Rose
254,"Acho que nunca vou ser feliz",Gorse
255,"Fico irritado com a lentidão do garçom",Impatiens
256,"Não tenho personalidade própria",Centaury
257,"Disfarço minha ansiedade com piadas",Agrimony
258,"Preciso que precisem de mim",Chicory
259,"Sou muito tenso, não relaxo nunca",Vervain
260,"Fico indeciso até para escolher sorvete",Scleranthus
261,"Tenho medo de ratos e camundongos",Mimulus
262,"Sinto medo de energias negativas",Aspen
263,"O terror tomou conta do meu corpo",Rock Rose
264,"Já aceitei que vou sofrer sempre",Gorse
265,"Odeio esperar o elevador",Impatiens
266,"Sou muito servil e obediente",Centaury
267,"Finjo que não tenho problemas",Agrimony
268,"Choro para conseguir o que quero",Chicory
269,"Sou muito enfático ao falar",Vervain
270,"Uma hora estou feliz, outra triste, sem motivo",Scleranthus
271,"Tenho medo de ser demitido",Mimulus
272,"Sinto medo de vultos na janela",Aspen
273,"Tive um ataque de nervos de tanto susto",Rock Rose
274,"Desisti de lutar contra a doença",Gorse
275,"Completo as frases dos gagos de impaciência",Impatiens
276,"Não consigo negar dinheiro emprestado",Centaury
277,"Sou a pessoa mais feliz do mundo (mentira)",Agrimony
278,"Sou possessiva com meu namorado",Chicory
279,"Quero salvar o mundo sozinho",Vervain
280,"Não sei se estudo ou trabalho",Scleranthus
281,"Tenho medo de tempestade e trovão",Mimulus
282,"Sinto medo de pesadelos recorrentes",Aspen
283,"Fiquei cego de pânico momentâneo",Rock Rose
284,"Não acredito em milagres para mim",Gorse
285,"Ando na frente de todos na calçada",Impatiens
286,"Faço o trabalho sujo que ninguém quer",Centaury
287,"Busco companhia para não encarar meus pensamentos",Agrimony
288,"Sinto ciúmes dos meus amigos com outros",Chicory
289,"Sou fanático por dieta e saúde",Vervain
290,"Fico em dúvida entre dois amores",Scleranthus
291,"Tenho medo de multidões",Mimulus
292,"Sinto uma inquietação na alma",Aspen
293,"O terror me fez tremer sem parar",Rock Rose
294,"Estou sem esperança no futuro",Gorse
295,"Falo depressa e atropelo tudo",Impatiens
296,"Sou capacho da família",Centaury
297,"Sou otimista demais para esconder a tristeza",Agrimony
298,"Cobro presença e telefonemas",Chicory
299,"Sou um missionário das minhas causas",Vervain
300,"Não consigo me decidir sobre nada",Scleranthus
301,"Tenho medo de aranhas peludas",Mimulus
302,"Sinto medo do silêncio absoluto",Aspen
303,"Tive pânico de morrer engasgado",Rock Rose
304,"Já tentei tudo, não tem jeito",Gorse
305,"Fico nervoso em filas de supermercado",Impatiens
306,"Não sei impor minha vontade",Centaury
307,"Evito assuntos tristes e polêmicos",Agrimony
308,"Me sinto dona das pessoas que amo",Chicory
309,"Sou tenso e não consigo descansar",Vervain
310,"Fico oscilando entre sim e não",Scleranthus
311,"Tenho medo de falar com estranhos",Mimulus
312,"Sinto medo de espíritos obsessores",Aspen
313,"Fiquei paralisado no meio da rua de medo",Rock Rose
314,"Estou resignado com a pobreza",Gorse
315,"Sou impaciente com crianças",Impatiens
316,"Faço tudo para não ser rejeitado",Centaury
317,"Estou sempre rindo para não chorar",Agrimony
318,"Faço chantagem se meu filho sai de casa",Chicory
319,"Tento convencer todos a serem veganos/religiosos",Vervain
320,"Não sei se compro o carro ou a moto",Scleranthus
321,"Tenho medo de errar no trabalho",Mimulus
322,"Sinto medo de pressentimentos ruins",Aspen
323,"O pânico me fez suar frio",Rock Rose
324,"Não tenho fé que vou melhorar",Gorse
325,"Quero resolver tudo agora, já",Impatiens
326,"Sou muito passivo e aceito tudo",Centaury
327,"Odeio brigas, saio de perto",Agrimony
328,"Organizo a festa e exijo elogios",Chicory
329,"Sou muito rígido com regras",Vervain
330,"Fico balançando a perna de indecisão",Scleranthus
331,"Tenho medo de injeção e sangue",Mimulus
332,"Sinto medo de dormir sozinho",Aspen
333,"Acordei berrando de pavor",Rock Rose
334,"Estou conformado com o fracasso",Gorse
335,"Fico irritado com quem anda devagar na frente",Impatiens
336,"Não tenho voz ativa em casa",Centaury
337,"Sou o animador de festas triste",Agrimony
338,"Sinto que dou muito e recebo pouco",Chicory
339,"Luto contra o sistema incansavelmente",Vervain
340,"Não sei se viajo ou guardo dinheiro",Scleranthus
341,"Tenho medo de cair de moto",Mimulus
342,"Sinto medo de sensações estranhas",Aspen
343,"O terror me deixou mudo",Rock Rose
344,"Não adianta ter esperança",Gorse
345,"Sou acelerado e ansioso",Impatiens
346,"Faço o que mandam sem questionar",Centaury
347,"Finjo que não me importo com problemas",Agrimony
348,"Sou possessiva com meus amigos",Chicory
349,"Sou fanático por justiça social",Vervain
350,"Fico indeciso entre duas carreiras",Scleranthus
351,"Tenho medo de ficar doente",Mimulus
352,"Sinto medo do desconhecido e invisível",Aspen
353,"Tive um ataque de pânico na ponte",Rock Rose
354,"Acredito que meu caso é perdido",Gorse
355,"Não suporto reuniões longas",Impatiens
356,"Sou bonzinho demais e se aproveitam",Centaury
357,"Disfarço minha dor com humor",Agrimony
358,"Fico magoada se não me visitam",Chicory
359,"Sou intenso e quero mudar os outros",Vervain
360,"Oscilo entre otimismo e pessimismo",Scleranthus
361,"Tenho medo de ser assaltado",Mimulus
362,"Sinto medo de assombrações",Aspen
363,"Fiquei travado de medo no exame",Rock Rose
364,"Estou sem esperanças de cura",Gorse
365,"Fico nervoso com internet lenta",Impatiens
366,"Não sei dizer não para vendedor",Centaury
367,"Sou pacífico, evito qualquer atrito",Agrimony
368,"Corrijo a postura de todos por amor",Chicory
369,"Sou incansável na defesa dos meus ideais",Vervain
370,"Não sei se vou de táxi ou ônibus",Scleranthus
371,"Tenho medo de altura e escada",Mimulus
372,"Sinto medo de algo que não vejo",Aspen
373,"O pânico me fez correr sem direção",Rock Rose
374,"Aceitei que vou ser infeliz",Gorse
375,"Como correndo para voltar logo",Impatiens
376,"Sou submisso aos meus pais",Centaury
377,"Escondo minhas lágrimas",Agrimony
378,"Sinto ciúmes do meu marido",Chicory
379,"Quero convencer todos que estou certo",Vervain
380,"Fico em dúvida entre dois pratos no menu",Scleranthus
381,"Tenho medo de dentista e motorzinho",Mimulus
382,"Sinto medo de energias ruins",Aspen
383,"O terror noturno não me deixa dormir",Rock Rose
384,"Desisti de tentar emagrecer",Gorse
385,"Não tenho paciência para ensinar",Impatiens
386,"Faço tudo para não magoar os outros",Centaury
387,"Busco festas para não ficar triste",Agrimony
388,"Sou controladora com a família",Chicory
389,"Sou muito entusiasmado com meu trabalho",Vervain
390,"Não sei se corto o cabelo ou não",Scleranthus
391,"Tenho medo de cachorros grandes",Mimulus
392,"Sinto medo de presságios funestos",Aspen
393,"Fiquei paralisado de horror",Rock Rose
394,"Acho que não tem mais jeito para mim",Gorse
395,"Me irrito com quem fala devagar",Impatiens
396,"Sou um capacho no trabalho",Centaury
397,"Não gosto de falar de coisas tristes",Agrimony
398,"Me sinto ofendida se não aceitam minha ajuda",Chicory
399,"Luto por causas perdidas com fervor",Vervain
400,"Fico indeciso entre ir e ficar",Scleranthus
401,"Tenho medo de ficar sem dinheiro",Mimulus
402,"Sinto medo de vultos no escuro",Aspen
403,"O pânico me fez perder o controle",Rock Rose
404,"Não tenho esperança de dias melhores",Gorse
405,"Sou apressado e atropelo os outros",Impatiens
406,"Não consigo negar ajuda a ninguém",Centaury
407,"Sorrio para esconder o choro",Agrimony
408,"Gosto de ter todos dependendo de mim",Chicory
409,"Sou tenso por excesso de zelo",Vervain
410,"Não sei se gosto ou não gosto",Scleranthus
411,"Tenho medo de escuro e fantasmas",Mimulus
412,"Sinto medo de algo ruim acontecer",Aspen
413,"Tive um ataque de pânico no show",Rock Rose
414,"Já me acostumei com o sofrimento",Gorse
415,"Fico nervoso esperando resposta",Impatiens
416,"Faço o que não quero para agradar",Centaury
417,"Fujo de discussões para ter paz",Agrimony
418,"Sou carente e possessiva",Chicory
419,"Sou fanático por ordem e justiça",Vervain
420,"Fico oscilando entre duas opções de viagem",Scleranthus
421,"Tenho medo de avião e turbulência",Mimulus
422,"Sinto um medo inexplicável de noite",Aspen
423,"Fiquei cego de medo no assalto",Rock Rose
424,"Não acredito que as coisas mudem",Gorse
425,"Sou impaciente com idosos",Impatiens
426,"Sou facilmente manipulado",Centaury
427,"Finjo que está tudo bem no casamento",Agrimony
428,"Me sinto desvalorizada pela família",Chicory
429,"Quero mudar a cabeça das pessoas",Vervain
430,"Não sei se compro ou alugo",Scleranthus
431,"Tenho medo de injeção e hospital",Mimulus
432,"Sinto medo de sensações corporais",Aspen
433,"O terror me fez gritar",Rock Rose
434,"Estou sem fé na vida",Gorse
435,"Fico irritado com a burocracia",Impatiens
436,"Sou servil e não reclamo",Centaury
437,"Busco agito para não pensar",Agrimony
438,"Manipulo com doenças para ter atenção",Chicory
439,"Sou intenso na defesa dos animais",Vervain
440,"Fico indeciso entre dois caminhos",Scleranthus
441,"Tenho medo de aranha e barata",Mimulus
442,"Sinto medo de pesadelos",Aspen
443,"Tive pânico de altura na escada",Rock Rose
444,"Acho que meu destino é sofrer",Gorse
445,"Sou rápido e quero que todos sejam",Impatiens
446,"Faço favores e me arrependo",Centaury
447,"Sou a alegria da casa, mas sofro",Agrimony
448,"Cuido de todos e ninguém cuida de mim",Chicory
449,"Sou insistente e chato com minhas ideias",Vervain
450,"Não sei se caso ou compro um terreno",Scleranthus
451,"Tenho medo de perder quem amo",Mimulus
452,"Sinto medo de espíritos",Aspen
453,"Fiquei gelado de terror",Rock Rose
454,"Não vejo solução para meus problemas",Gorse
455,"Odeio esperar em consultório",Impatiens
456,"Sou muito bonzinho e bobo",Centaury
457,"Disfarço a tristeza com bebida",Agrimony
458,"Sou ciumenta com meus filhos",Chicory
459,"Sou fervoroso nas minhas crenças",Vervain
460,"Fico mudando de opinião toda hora",Scleranthus
461,"Tenho medo de elevador quebrar",Mimulus
462,"Sinto medo de pressentimentos",Aspen
463,"O pânico me paralisou no trânsito",Rock Rose
464,"Estou resignado com a dor",Gorse
465,"Sou ansioso e quero tudo rápido",Impatiens
466,"Não sei dizer não para o chefe",Centaury
467,"Evito brigas fingindo concordar",Agrimony
468,"Me faço de vítima para ter carinho",Chicory
469,"Sou incansável no trabalho",Vervain
470,"Fico indeciso entre duas cores",Scleranthus
471,"Tenho medo de trovão e raio",Mimulus
472,"Sinto medo do escuro do quarto",Aspen
473,"Tive um ataque de terror noturno",Rock Rose
474,"Não tenho esperança de cura",Gorse
475,"Fico nervoso com gente lenta",Impatiens
476,"Faço tudo para não ter conflito",Centaury
477,"Estou sempre sorrindo, é minha máscara",Agrimony
478,"Sou possessiva com minhas coisas",Chicory
479,"Quero convencer o mundo da minha verdade",Vervain
480,"Oscilo entre sim e não rapidamente",Scleranthus
481,"Tenho medo de doença contagiosa",Mimulus
482,"Sinto medo de algo invisível",Aspen
483,"Fiquei petrificado no susto",Rock Rose
484,"Já desisti de ser feliz",Gorse
485,"Não tenho paciência para esperar",Impatiens
486,"Sou submisso e aceito ordens",Centaury
487,"Não gosto de mostrar fraqueza",Agrimony
488,"Cobro amor e gratidão",Chicory
489,"Sou tenso e agitado por ideais",Vervain
490,"Não sei se vou ou fico",Scleranthus
491,"Tenho medo de cobra e escorpião",Mimulus
492,"Sinto medo de sensações ruins",Aspen
493,"O terror me fez tremer as pernas",Rock Rose
494,"Estou sem ânimo para lutar",Gorse
495,"Sou apressado e atropelo a fala",Impatiens
496,"Não consigo negar nada a ninguém",Centaury
497,"Fujo de problemas com diversão",Agrimony
498,"Me sinto abandonada fácil",Chicory
499,"Sou fanático e exagerado",Vervain
500,"Fico indeciso o dia todo",Scleranthus
501,"Tenho medo de andar de avião à noite",Mimulus
502,"Sinto um medo inexplicável de manhã",Aspen
503,"Tive terror ao ver o acidente",Rock Rose
504,"Não tenho mais fé na vida",Gorse
505,"Fico irritado em filas de banco",Impatiens
506,"Sou capacho dos meus amigos",Centaury
507,"Sorrio para não chorar na frente dos outros",Agrimony
508,"Faço tudo pelos filhos e cobro",Chicory
509,"Tento converter todos ao meu estilo de vida",Vervain
510,"Não sei decidir entre praia e campo",Scleranthus
511,"Tenho medo de altura e varanda",Mimulus
512,"Sinto um medo vago no peito",Aspen
513,"Fiquei paralisado de pânico no elevador",Rock Rose
514,"Acho que não tem mais jeito",Gorse
515,"Odeio esperar o sinal abrir",Impatiens
516,"Não consigo dizer não para a mãe",Centaury
517,"Bebo para relaxar e esquecer",Agrimony
518,"Sou superprotetora e chata",Chicory
519,"Fico indignado com a política",Vervain
520,"Uma hora quero sair, outra ficar",Scleranthus
521,"Tenho medo de ficar pobre na velhice",Mimulus
522,"Acordo com medo sem saber o motivo",Aspen
523,"Sinto que vou desmaiar de pânico",Rock Rose
524,"Estou conformado com meu destino",Gorse
525,"Fico nervoso com internet discada",Impatiens
526,"Sou muito bonzinho no trabalho",Centaury
527,"Odeio clima pesado em casa",Agrimony
528,"Só quero que me amem como eu amo",Chicory
529,"Sou fanático pelo meu time/partido",Vervain
530,"É difícil escolher o que vestir",Scleranthus
531,"Tenho medo de aranha caranguejeira",Mimulus
532,"Sinto arrepios de medo do nada",Aspen
533,"Acordo gritando com pesadelos",Rock Rose
534,"Perdi a esperança no tratamento",Gorse
535,"Quero tudo resolvido para ontem",Impatiens
536,"Deixo de fazer minhas coisas pelos outros",Centaury
537,"Sou animado mas triste por dentro",Agrimony
538,"Organizo a vida dos outros sem pedir",Chicory
539,"Não desligo, estou sempre militando",Vervain
540,"Fico em dúvida entre dois filmes",Scleranthus
541,"Tenho medo de perder o emprego",Mimulus
542,"Sinto que algo ruim vai acontecer comigo",Aspen
543,"Fiquei mudo de tanto medo",Rock Rose
544,"Estou resignado e apático",Gorse
545,"Fico batendo o pé de pressa",Impatiens
546,"Sou dominado pelo marido/esposa",Centaury
547,"Uso calmantes para fingir estar bem",Agrimony
548,"Me sinto magoada se não seguem o que digo",Chicory
549,"Fico exausto de tanto lutar",Vervain
550,"Minha mente oscila muito",Scleranthus
551,"Tenho medo de falar em público",Mimulus
552,"Tenho medo de fantasmas no quarto",Aspen
553,"Entro em choque se vejo sangue",Rock Rose
554,"Não adianta tentar, vai dar errado",Gorse
555,"Não suporto gente devagar",Impatiens
556,"Acabo cedendo para não brigar",Centaury
557,"Minto que estou feliz",Agrimony
558,"Faço chantagem emocional com os filhos",Chicory
559,"Sou dono da razão e imponho ideias",Vervain
560,"Nunca sei o que escolher no cardápio",Scleranthus
561,"Tenho medo da morte",Mimulus
562,"Sinto medo do escuro e vultos",Aspen
563,"Sinto um pânico gelado",Rock Rose
564,"Estou condenado a ser infeliz",Gorse
565,"Como rápido demais",Impatiens
566,"Sou um mártir e me sacrifico",Centaury
567,"Busco festas para fugir da depressão",Agrimony
568,"Cobro atenção e carinho",Chicory
569,"Estou sempre tenso e alerta",Vervain
570,"Oscilo entre euforia e tristeza",Scleranthus
571,"Tenho medo de lugares fechados",Mimulus
572,"Sinto vibração ruim em certos lugares",Aspen
